at,site,val,type
2023-03-06 09:02:17,3,1,
2023-03-06 17:29:54,2,3,
2023-03-06 15:06:27,4,2,
2023-03-06 10:50:45,2,2,
2023-03-06 10:04:54,2,1,
2023-03-06 12:22:21,1,4,
2023-03-06 15:45:11,3,2,
2023-03-06 10:12:53,1,1,
2023-03-06 09:57:26,4,4,
2023-03-06 10:24:49,0,2,
2023-03-06 14:48:47,0,1,
2023-03-06 14:25:06,4,1,
2023-03-06 17:05:31,0,2,
2023-03-06 12:59:40,0,2,
2023-03-06 18:07:37,0,3,
2023-03-06 13:02:33,0,4,
2023-03-06 10:44:13,4,2,
2023-03-06 17:51:00,0,2,
2023-03-06 11:23:33,3,-1,0.0
2023-03-06 09:26:17,1,2,
2023-03-06 18:11:03,4,0,
2023-03-06 12:12:21,2,3,
2023-03-06 13:10:50,2,3,
2023-03-06 16:20:29,1,2,
2023-03-06 14:54:51,2,1,
2023-03-06 11:26:14,0,1,
2023-03-06 16:04:47,0,2,
2023-03-06 10:23:32,1,2,
2023-03-06 12:58:21,2,0,
2023-03-06 13:24:25,4,2,
2023-03-06 14:34:29,1,1,
2023-03-06 09:09:29,4,0,
2023-03-06 14:48:26,1,2,
2023-03-06 16:19:41,4,1,
2023-03-06 14:38:46,4,1,
2023-03-06 13:22:39,1,2,
2023-03-06 10:15:40,3,4,
2023-03-06 10:21:45,0,1,
2023-03-06 16:46:21,1,0,
2023-03-06 14:34:44,1,1,
2023-03-06 18:14:25,2,0,
2023-03-06 11:58:27,2,0,
2023-03-06 09:18:32,2,3,
2023-03-06 14:27:21,2,1,
2023-03-06 17:22:12,1,2,
2023-03-06 17:31:15,2,0,
2023-03-06 16:27:26,0,1,
2023-03-06 17:27:07,2,1,
2023-03-06 16:37:58,0,3,
2023-03-06 15:48:22,4,1,
2023-03-06 10:41:43,3,4,
2023-03-06 08:38:09,3,2,
2023-03-06 15:51:51,2,1,
2023-03-06 10:40:36,0,1,
2023-03-06 12:40:39,3,4,
2023-03-06 10:42:37,1,2,
2023-03-06 14:34:23,3,2,
2023-03-06 16:46:12,3,3,
2023-03-06 14:05:03,4,0,
2023-03-06 13:44:01,1,2,
2023-03-06 08:45:14,3,3,
2023-03-06 09:18:16,4,0,
2023-03-06 08:56:58,3,4,
2023-03-06 12:07:09,1,1,
2023-03-06 15:19:46,0,-1,0.0
2023-03-06 12:52:39,2,2,
2023-03-06 14:48:04,1,2,
2023-03-06 10:24:17,1,2,
2023-03-06 14:22:40,1,1,
2023-03-06 13:33:52,1,2,
2023-03-06 14:54:22,0,1,
2023-03-06 10:08:03,0,1,
2023-03-06 12:56:22,4,1,
2023-03-06 12:52:12,0,1,
2023-03-06 12:50:40,0,3,
2023-03-06 16:26:11,2,1,
2023-03-06 10:34:53,4,0,
2023-03-06 12:33:20,0,3,
2023-03-06 15:37:57,4,1,
2023-03-06 12:54:57,1,2,
2023-03-06 09:16:55,0,2,
2023-03-06 17:30:57,2,1,
2023-03-06 08:44:28,2,3,
2023-03-06 12:45:23,2,0,
2023-03-06 08:59:21,3,4,
2023-03-06 16:56:28,4,0,
2023-03-06 12:32:10,2,1,
2023-03-06 11:38:22,0,2,
2023-03-06 17:18:37,3,4,
2023-03-06 11:46:05,2,1,
2023-03-06 15:23:52,4,0,
2023-03-06 15:21:17,2,2,
2023-03-06 17:45:57,4,2,
2023-03-06 13:38:55,0,-1,0.0
2023-03-06 11:10:03,4,1,
2023-03-06 17:13:47,1,1,
2023-03-06 13:59:45,3,2,
2023-03-06 13:37:31,3,3,
2023-03-06 11:06:28,3,4,
2023-03-06 09:48:34,3,4,
2023-03-06 10:29:38,3,3,
2023-03-06 12:52:59,1,1,
2023-03-06 08:53:11,4,1,
2023-03-06 11:03:08,0,3,
2023-03-06 12:34:46,2,1,
2023-03-06 16:34:57,3,2,
2023-03-06 10:28:23,4,0,
2023-03-06 12:44:00,4,0,
2023-03-06 09:20:18,3,2,
2023-03-06 14:17:01,0,0,
2023-03-06 09:42:52,3,3,
2023-03-06 12:43:39,3,2,
2023-03-06 18:11:24,4,4,
2023-03-06 15:58:38,3,4,
2023-03-06 10:52:34,2,2,
2023-03-06 09:02:26,3,4,
2023-03-06 16:40:06,1,3,
2023-03-06 12:09:29,4,0,
2023-03-06 14:11:55,1,1,
2023-03-06 11:16:43,3,4,
2023-03-06 16:36:44,2,3,
2023-03-06 11:25:39,4,0,
2023-03-06 16:30:29,4,1,
2023-03-06 13:11:35,3,2,
2023-03-06 12:23:10,4,1,
2023-03-06 16:31:22,4,1,
2023-03-06 12:47:32,4,2,
2023-03-06 11:44:23,3,3,
2023-03-06 11:06:06,3,3,
2023-03-06 17:22:16,2,1,
2023-03-06 13:11:48,3,3,
