at,site,val,type
2023-03-06 11:21:19,3,0,
2023-03-06 17:14:43,1,3,
2023-03-06 10:08:26,3,4,
2023-03-06 10:02:47,4,2,
2023-03-06 10:37:56,1,2,
2023-03-06 11:13:39,4,2,
2023-03-06 13:16:29,4,0,
2023-03-06 14:23:34,3,2,
2023-03-06 15:18:16,2,0,
2023-03-06 17:59:20,4,2,
2023-03-06 10:36:38,4,1,
2023-03-06 16:41:13,0,3,
2023-03-06 10:35:22,1,4,
2023-03-06 15:44:08,4,1,
2023-03-06 10:16:43,2,3,
2023-03-06 10:39:04,0,0,
2023-03-06 13:53:27,4,0,
2023-03-06 15:39:49,4,0,
2023-03-06 08:44:38,4,3,
2023-03-06 13:19:59,3,4,
2023-03-06 10:12:30,3,0,
2023-03-06 14:21:10,4,0,
2023-03-06 18:08:35,1,3,
2023-03-06 10:14:37,2,-1,0.0
2023-03-06 09:38:56,4,1,
2023-03-06 13:58:19,2,2,
2023-03-06 16:49:34,0,-1,0.0
2023-03-06 10:56:43,3,4,
2023-03-06 11:31:06,4,1,
2023-03-06 17:33:00,3,3,
2023-03-06 11:01:24,2,1,
2023-03-06 08:46:11,4,0,
2023-03-06 18:08:46,3,-1,0.0
2023-03-06 16:58:11,2,4,
2023-03-06 14:56:24,1,3,
2023-03-06 09:27:35,2,1,
2023-03-06 10:00:43,0,3,
2023-03-06 09:04:20,1,3,
2023-03-06 12:48:27,1,3,
2023-03-06 08:53:13,3,2,
2023-03-06 17:23:37,2,0,
2023-03-06 09:36:24,2,1,
2023-03-06 16:21:22,3,2,
2023-03-06 17:49:34,2,3,
2023-03-06 18:07:24,0,4,
2023-03-06 12:32:33,4,1,
2023-03-06 10:39:20,4,4,
2023-03-06 13:44:18,4,2,
2023-03-06 13:01:51,3,4,
2023-03-06 15:59:00,1,2,
2023-03-06 11:23:44,0,2,
2023-03-06 12:21:00,2,3,
2023-03-06 13:37:27,3,3,
2023-03-06 13:08:02,2,1,
2023-03-06 15:42:16,2,1,
2023-03-06 11:50:41,3,4,
2023-03-06 16:47:54,1,4,
2023-03-06 10:02:40,1,-1,0.0
2023-03-06 14:54:57,4,4,
2023-03-06 16:26:50,4,0,
2023-03-06 16:00:35,2,0,
2023-03-06 12:00:28,1,3,
2023-03-06 12:09:40,4,0,
2023-03-06 16:59:20,4,3,
2023-03-06 13:35:23,0,1,
2023-03-06 11:11:06,1,3,
2023-03-06 10:39:49,1,1,
2023-03-06 18:01:25,2,-1,0.0
2023-03-06 08:38:20,4,0,
2023-03-06 10:15:44,2,1,
